Input File,Station,Average House Price,Destination,Duration,Frequency,Changes,Primary Schools Link,Secondary Schools Link
commutefrom-E.csv,Sevenoaks,448336,Cannon Street,00:32,every 00:16,0,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Sevenoaks&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Sevenoaks&t=sec
commutefrom-E.csv,Sevenoaks,448336,Waterloo,00:33,every 00:10,1,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Sevenoaks&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Sevenoaks&t=sec
commutefrom-E.csv,Sevenoaks,448336,Charing Cross,00:34,every 00:10,0,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Sevenoaks&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Sevenoaks&t=sec
commutefrom-E.csv,Sevenoaks,448336,Victoria,00:51,every 00:07,1,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Sevenoaks&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Sevenoaks&t=sec
commutefrom-E.csv,Sevenoaks,448336,Blackfriars,00:54,every 00:07,0,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Sevenoaks&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Sevenoaks&t=sec
commutefrom-E.csv,Shenfield,341139,Liverpool Street,00:29,every 00:05,0,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Shenfield&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Shenfield&t=sec
commutefrom-E.csv,Shoreham, Kent,448336,London Bridge,1,00:38,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Shoreham&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Shoreham&t=sec
commutefrom-E.csv,Shoreham, Kent,448336,Cannon Street,1,00:46,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Shoreham&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Shoreham&t=sec
commutefrom-E.csv,Shoreham, Kent,448336,Victoria,1,00:46,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Shoreham&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Shoreham&t=sec
commutefrom-E.csv,Shoreham, Kent,448336,Waterloo,2,00:48,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Shoreham&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Shoreham&t=sec
